Country,Population 2024
India,1450935791
China,1419321278
United States,345426571
Indonesia,283487931
Pakistan,251269164
Nigeria,232679478
Brazil,211998573
Bangladesh,173562364
Russia,144820423
Ethiopia,132059767
Mexico,130861007
Japan,123753041
Egypt,116538258
Philippines,115843670
DR Congo,109276265
Vietnam,100987686
Iran,91567738
Turkey,87473805
Germany,84552242
Thailand,71668011
United Kingdom,69138192
Tanzania,68560157
France,66548530
South Africa,64007187
Italy,59342867
Kenya,56432944
Myanmar,54500091
Colombia,52886363
South Korea,51717590
Sudan,50448963
Uganda,50015092
Spain,47910526
Algeria,46814308
Iraq,46042015
Argentina,45696159
Afghanistan,42647492
Yemen,40583164
Canada,39742430
Poland,38539201
Morocco,38081173
Angola,37885849
Ukraine,37860221
Uzbekistan,36361859
Malaysia,35557673
Mozambique,34631766
Ghana,34427414
Peru,34217848
Saudi Arabia,33962757
Madagascar,31964956
Côte d'Ivoire,31934230
Nepal,29651054
Cameroon,29123744
Venezuela,28405543
Niger,27032412
Australia,26713205
North Korea,26498823
Syria,24672760
Mali,24478595
Burkina Faso,23548781
Taiwan,23213962
Sri Lanka,23103565
Malawi,21655286
Zambia,21314956
Kazakhstan,20592571
Chad,20299123
Chile,19764771
Romania,19015088
Somalia,19009151
Senegal,18501984
Guatemala,18406359
Netherlands,18228742
Ecuador,18135478
Cambodia,17638801
Zimbabwe,16634373
Guinea,14754785
Benin,14462724
Rwanda,14256567
Burundi,14047786
Bolivia,12413315
Tunisia,12277109
South Sudan,11943408
Haiti,11772557
Belgium,11738763
Jordan,11552876
Dominican Republic,11427557
United Arab Emirates,11027129
Cuba,10979783
Honduras,10825703
Czech Republic (Czechia),10735859
Sweden,10606999
Tajikistan,10590927
Papua New Guinea,10576502
Portugal,10425292
Azerbaijan,10336577
Greece,10047817
Hungary,9676135
Togo,9515236
Israel,9387021
Austria,9120813
Belarus,9056696
Switzerland,8921981
Sierra Leone,8642022
Laos,7769819
Turkmenistan,7494498
Hong Kong,7414909
Libya,7381023
Kyrgyzstan,7186009
Paraguay,6929153
Nicaragua,6916140
Bulgaria,6757689
Serbia,6736216
El Salvador,6338193
Congo,6332961
Denmark,5977412
Singapore,5832387
Lebanon,5805962
Finland,5617310
Liberia,5612817
Norway,5576660
Slovakia,5506760
State of Palestine,5495443
Central African Republic,5330690
Oman,5281538
Ireland,5255017
New Zealand,5213944
Mauritania,5169395
Costa Rica,5129910
Kuwait,4934507
Panama,4515577
Croatia,3875325
Georgia,3807670
Eritrea,3535603
Mongolia,3475540
Uruguay,3386588
Puerto Rico,3242204
Bosnia and Herzegovina,3164253
Qatar,3048423
Moldova,3034961
Namibia,3030131
Armenia,2973840
Lithuania,2859110
Jamaica,2839175
Albania,2791765
Gambia,2759988
Gabon,2538952
Botswana,2521139
Lesotho,2337423
Guinea-Bissau,2201352
Slovenia,2118697
Equatorial Guinea,1892516
Latvia,1871871
North Macedonia,1823009
Bahrain,1607049
Trinidad and Tobago,1507782
Timor-Leste,1400638
Estonia,1360546
Cyprus,1358282
Mauritius,1271169
Eswatini,1242822
Djibouti,1168722
Fiji,928784
Réunion,878591
Comoros,866628
Guyana,831087
Solomon Islands,819198
Bhutan,791524
Macao,720262
Luxembourg,673036
Montenegro,638479
Suriname,634431
Western Sahara,590506
Malta,539607
Maldives,527799
Micronesia,526923
Cabo Verde,524877
Brunei ,462721
Belize,417072
Bahamas,401283
Iceland,393396
Guadeloupe,375106
Martinique,343195
Vanuatu,327777
Mayotte,326505
French Guiana,308522
New Caledonia,292639
Barbados,282467
French Polynesia,281807
Sao Tome & Principe,235536
Samoa,218019
Curaçao,185482
Saint Lucia,179744
Guam,167777
Kiribati,134518
Seychelles,130418
Grenada,117207
Aruba,108066
Tonga,104175
St. Vincent & Grenadines,100616
Antigua and Barbuda,93772
U.S. Virgin Islands,84905
Isle of Man,84160
Andorra,81938
Cayman Islands,74457
Dominica,66205
Bermuda,64636
Greenland,55840
Faeroe Islands,55400
Saint Kitts & Nevis,46843
American Samoa,46765
Turks and Caicos,46535
Northern Mariana Islands,44278
Sint Maarten,43350
Liechtenstein,39870
British Virgin Islands,39471
Gibraltar,39329
Monaco,38631
Marshall Islands,37548
San Marino,33581
Caribbean Netherlands,30675
Saint Martin,26129
Palau,17695
Anguilla,14598
Cook Islands,13729
Nauru,11947
Wallis & Futuna,11277
Saint Barthelemy,11258
Tuvalu,9646
Saint Pierre & Miquelon,5628
Saint Helena,5237
Montserrat,4389
Falkland Islands,3470
Tokelau,2506
Niue,1819
Holy See,496
